날짜,종가,시가,고가,저가,거래량,변동률,수익률
2022- 07- 22,64010,64100,64120,63885,2.59K,0.0064,-0.021
2022- 07- 21,63605,63655,63815,63585,2.93K,-0.0009,0.0033
2022- 07- 20,63660,64130,64130,63650,3.65K,-0.0077,0.0291
2022- 07- 19,64155,63970,64225,63925,4.90K,-0.0001,0.0012
2022- 07- 18,64160,64240,64480,64120,4.05K,-0.0005,0.013
2022- 07- 15,64190,64165,64225,63960,6.06K,0.0035,-0.0145
2022- 07- 14,63965,63990,64130,63710,2.13K,0.0001,0.0006
2022- 07- 13,63960,63740,64195,63725,5.01K,0.0042,-0.0155
2022- 07- 12,63690,63535,63885,63535,5.84K,0.0024,-0.0089
2022- 07- 11,63535,63370,63535,63325,1.77K,-0.0007,0.0074
2022- 07- 08,63580,63605,63715,63475,5.59K,-0.0059,0.0225
2022- 07- 07,63955,63625,64140,63605,13.96K,0.0003,0.0027
2022- 07- 06,63935,63655,64100,63485,6.55K,0.0082,-0.0313
2022- 07- 05,63415,62800,63720,62720,17.79K,0.0099,-0.0317
2022- 07- 04,62795,62955,63095,62790,7.96K,-0.0003,0.0011
2022- 07- 01,62815,62360,62910,62360,6.60K,0.0127,-0.0407
2022- 06- 30,62025,62150,62180,61905,4.76K,0.0006,-0.0082
2022- 06- 29,61985,61940,62020,61765,13.62K,-0.0003,0.0008
2022- 06- 28,62005,61620,62005,61525,5.30K,0.0057,-0.0161
2022- 06- 27,61655,61820,61930,61595,4.21K,-0.0071,0.0273
2022- 06- 24,62095,62175,62190,61950,2.11K,0.0048,-0.0143
2022- 06- 23,61800,62060,62310,61800,6.69K,0.0002,-0.0022
2022- 06- 22,61790,61475,61790,61345,2.29K,0.0059,-0.0193
2022- 06- 21,61430,61145,61480,61060,2.02K,0.001,-0.0003
2022- 06- 20,61370,61240,61440,61140,3.92K,0.0019,-0.0047
2022- 06- 17,61255,61315,61480,61130,9.56K,-0.0016,0.0093
2022- 06- 16,61355,61740,61915,61355,2.81K,0.0015,-0.0113
2022- 06- 15,61265,61515,61690,61230,6.36K,-0.0087,0.0287
2022- 06- 14,61800,61245,61840,61245,8.52K,-0.0041,0.0145
2022- 06- 13,62055,62045,62205,61740,21.53K,-0.0109,0.0441
2022- 06- 10,62740,62680,62810,62680,3.23K,-0.001,0.0087
2022- 06- 09,62800,62735,63065,62670,4.30K,-0.0019,-0.0026
2022- 06- 08,62920,62775,62940,62710,11.71K,0.0057,-0.0181
2022- 06- 07,62565,62910,62925,62565,11.77K,-0.0104,0.0385
2022- 06- 03,63225,63220,63280,62930,3.88K,0.0015,-0.0056
2022- 06- 02,63130,63355,63530,62995,8.41K,-0.008,0.0276
2022- 05- 31,63640,64150,64150,63625,8.84K,-0.0099,0.0371
2022- 05- 30,64275,64095,64370,64095,1.90K,0.0009,-0.0037
2022- 05- 27,64220,64270,64310,64045,1.49K,0.0025,-0.0086
2022- 05- 26,64060,64385,64385,63855,2.63K,-0.0054,0.0208
2022- 05- 25,64410,64415,64425,64245,33.57K,0.0036,-0.0134
2022- 05- 24,64180,63895,64200,63840,21.43K,0.0038,-0.0126
2022- 05- 23,63935,64090,64190,63805,4.62K,-0.0012,0.0052
2022- 05- 20,64010,63750,64040,63750,7.56K,0.0055,-0.0181
2022- 05- 19,63660,63830,63850,63575,2.33K,0.0013,-0.0039
2022- 05- 18,63580,63615,63725,63500,2.55K,-0.0025,0.0094
2022- 05- 17,63740,63870,63910,63665,2.67K,0.0,-0.0006
2022- 05- 16,63740,63650,64070,63495,3.55K,-0.0057,0.0189
2022- 05- 13,64105,64230,64260,63980,5.52K,-0.0036,0.0155
2022- 05- 12,64335,63900,64335,63710,9.45K,0.0098,-0.0324
2022- 05- 11,63710,63490,63725,63450,4.41K,0.0094,-0.0382
2022- 05- 10,63115,63040,63500,63015,6.77K,0.0012,-0.0029
2022- 05- 09,63040,62690,63040,62600,10.81K,0.0017,-0.002
2022- 05- 06,62930,62825,62930,62580,3.97K,0.0028,0.0026
2022- 05- 04,62755,63075,63220,62755,6.94K,-0.0051,0.0158
2022- 05- 03,63075,62950,63410,62930,3.56K,-0.0019,0.0107
2022- 05- 02,63195,63355,63395,63110,10.65K,-0.0106,0.0423
2022- 04- 29,63870,64055,64080,63815,1.47K,-0.0054,0.0243
2022- 04- 28,64215,64005,64340,63905,6.90K,-0.0007,0.0016
2022- 04- 27,64260,64415,64600,64135,3.99K,0.0032,-0.01
2022- 04- 26,64055,64080,64210,63885,3.57K,0.0009,-0.0047
2022- 04- 25,64000,63570,64000,63520,3.93K,0.0117,-0.0287
2022- 04- 22,63260,63325,63605,63245,1.26K,-0.0054,0.0173
2022- 04- 21,63605,63760,63760,63420,0.79K,0.0022,-0.0075
2022- 04- 20,63465,63170,63580,63140,17.53K,0.0034,-0.0143
2022- 04- 19,63250,63325,63615,63250,8.61K,0.0,0.0033
2022- 04- 18,63250,63240,63320,62970,3.68K,-0.0053,0.0096
2022- 04- 15,63590,63605,63605,63410,1.07K,-0.0045,0.0208
2022- 04- 14,63880,63590,64035,63555,6.59K,0.0055,-0.0186
2022- 04- 13,63530,63670,63730,63320,6.02K,0.0024,-0.0091
2022- 04- 12,63375,63275,63575,63100,20.16K,-0.0011,0.0049
2022- 04- 11,63445,63915,63940,63445,1.97K,-0.0106,0.0368
2022- 04- 08,64125,64345,64535,64125,9.95K,-0.0033,0.0112
2022- 04- 07,64340,64490,64510,64300,4.32K,0.0009,-0.0006
2022- 04- 06,64280,65000,65000,63875,17.18K,-0.0048,0.0175
2022- 04- 05,64590,64930,65075,64540,18.79K,-0.0015,0.0026
2022- 04- 04,64685,64755,64755,64110,24.35K,-0.0045,0.0223
2022- 04- 01,64980,65220,65360,64930,6.71K,-0.0023,0.0128
2022- 03- 31,65130,65625,65695,65130,2.74K,-0.0072,0.0291
2022- 03- 30,65605,65360,65725,65275,4.33K,0.0062,-0.0293
2022- 03- 29,65200,64935,65200,64720,1.06K,0.0088,-0.0185
2022- 03- 28,64630,63200,65645,63200,13.48K,-0.0164,0.0525
2022- 03- 25,65705,65750,65835,65580,1.00K,-0.0007,0.0046
2022- 03- 24,65750,66150,66205,65750,0.46K,-0.0023,0.0081
2022- 03- 23,65900,65875,66025,65680,0.95K,-0.0003,-0.0004
2022- 03- 22,65920,66175,66195,65790,1.65K,-0.0075,0.0336
2022- 03- 21,66415,66435,66590,66365,0.86K,0.0002,0.0037
2022- 03- 18,66405,66635,66655,66405,3.80K,-0.003,0.0122
2022- 03- 17,66605,66525,66730,66525,8.59K,0.0056,-0.0221
2022- 03- 16,66235,66325,66400,66185,0.70K,-0.0002,0.0022
2022- 03- 15,66250,66045,66250,66030,1.21K,-0.0015,0.0077
2022- 03- 14,66350,66505,66505,66340,0.86K,-0.0034,0.016
2022- 03- 11,66575,66425,66645,66425,0.61K,0.0019,-0.0095
2022- 03- 10,66450,66325,66470,66275,0.79K,0.0,0.0033
2022- 03- 08,66450,66470,66505,66275,2.03K,-0.0019,0.0055
2022- 03- 07,66575,66910,66910,66515,1.14K,-0.003,0.0227
2022- 03- 04,66775,66595,66960,66590,0.78K,-0.0004,0.0057
2022- 03- 03,66800,66775,66805,66715,0.66K,-0.0034,0.013
2022- 03- 02,67025,67055,67055,66950,0.60K,0.0051,-0.0268
2022- 02- 28,66685,66850,66865,66685,0.61K,0.0005,0.003
2022- 02- 25,66650,66625,66695,66540,1.01K,-0.0045,0.0187
2022- 02- 24,66950,66395,66950,66190,1.59K,0.0086,-0.0374
2022- 02- 23,66380,66320,66490,66320,0.12K,-0.0003,0.0026
2022- 02- 22,66400,66315,66490,66315,5.73K,0.0048,-0.0205
2022- 02- 21,66085,66470,66485,66085,0.87K,-0.0037,0.0169
2022- 02- 18,66330,66570,66570,66290,0.54K,-0.0017,0.0074
2022- 02- 17,66440,66505,66615,66335,0.45K,0.0002,0.0026
2022- 02- 16,66425,66200,66455,66185,0.23K,0.0009,-0.0033
2022- 02- 15,66365,66195,66440,66195,0.91K,-0.0003,0.0011
2022- 02- 14,66385,66370,66430,66270,1.53K,0.0046,-0.0102
2022- 02- 11,66080,66050,66230,66045,10.03K,-0.005,0.0235
2022- 02- 10,66410,66340,66530,66290,1.36K,0.0002,-0.0011
2022- 02- 09,66400,66255,66440,66220,0.87K,0.0042,-0.0165
2022- 02- 08,66120,66610,66610,66110,0.36K,-0.0088,0.0368
2022- 02- 07,66710,66670,66740,66600,1.62K,-0.0011,0.0135
2022- 02- 04,66785,66790,66830,66630,1.13K,-0.0045,0.0199
2022- 02- 03,67090,67180,67210,67050,2.73K,0.0018,-0.0085
2022- 01- 28,66970,66860,66970,66795,1.91K,0.0028,-0.01
2022- 01- 27,66780,66810,66890,66665,9.78K,-0.0041,0.0152
2022- 01- 26,67055,67000,67075,66890,1.16K,-0.0001,-0.0012
2022- 01- 25,67065,67160,67215,66960,5.85K,-0.0025,0.015
2022- 01- 24,67235,67205,67250,67105,0.92K,0.0001,-0.0016
2022- 01- 21,67230,67310,67410,67215,1.23K,0.002,-0.0066
2022- 01- 20,67095,67155,67315,67040,0.53K,-0.0022,0.0083
2022- 01- 19,67245,66990,67250,66950,1.78K,0.0031,-0.0067
2022- 01- 18,67035,67220,67220,66740,4.85K,-0.0006,-0.0058
2022- 01- 17,67075,67345,67345,67075,1.21K,-0.0061,0.0422
2022- 01- 14,67490,68015,68015,67480,2.12K,-0.0068,0.0234
2022- 01- 13,67955,67810,68000,67755,0.56K,0.0027,-0.0128
2022- 01- 12,67775,67595,67775,67530,0.53K,0.0062,-0.0229
2022- 01- 11,67360,67525,67540,67330,0.81K,-0.0007,0.0004
2022- 01- 10,67405,67460,67500,67285,1.09K,-0.0008,0.011
2022- 01- 07,67460,67555,67750,67360,2.22K,-0.0003,-0.0093
2022- 01- 06,67480,67860,67900,67465,1.29K,-0.0081,0.0446
2022- 01- 05,68030,68350,68350,67940,3.95K,-0.0061,0.0264
2022- 01- 04,68450,68300,68450,68120,0.65K,0.0005,-0.0039
2022- 01- 03,68415,68700,68700,68370,2.94K,-0.0062,0.068
2021- 12- 30,68840,69085,69085,68840,0.74K,-0.0042,0.0312
2021- 12- 29,69130,69150,69275,69130,0.52K,0.0002,-0.0073
2021- 12- 28,69115,69165,69165,69010,0.62K,0.0009,-0.0072
2021- 12- 27,69055,68960,69140,68960,3.19K,0.0001,0.0045
2021- 12- 24,69050,69005,69140,68985,1.47K,0.0004,-0.0023
2021- 12- 23,69020,69380,69380,69020,0.49K,-0.0049,0.0312
2021- 12- 22,69360,69560,69560,69360,0.20K,-0.0034,0.0253
2021- 12- 21,69600,69495,69660,69470,2.52K,0.0001,-0.0062
2021- 12- 20,69590,69455,69600,69435,0.43K,0.0043,-0.0204
2021- 12- 17,69295,69370,69390,69250,0.27K,-0.0009,0.0028
2021- 12- 16,69355,69230,69355,69115,0.92K,0.0021,-0.0088
2021- 12- 15,69210,69175,69285,69100,0.26K,-0.0006,-0.0005
2021- 12- 14,69250,69380,69425,69250,8.70K,0.0007,-0.0009
2021- 12- 13,69205,69110,69250,69055,4.22K,0.0018,-0.0118
2021- 12- 10,69080,69155,69275,69080,0.85K,-0.0019,0.0064
2021- 12- 09,69210,69110,69210,68975,0.45K,0.0,0.0009
2021- 12- 08,69210,68880,69215,68880,2.18K,0.0039,-0.0241
2021- 12- 07,68940,68930,69040,68890,1.24K,-0.0018,0.0127
2021- 12- 06,69065,69110,69185,69030,0.40K,0.0022,-0.0103
2021- 12- 03,68910,69100,69150,68910,2.25K,-0.0027,0.0178
2021- 12- 02,69100,69300,69400,69100,0.85K,-0.0019,0.006
2021- 12- 01,69230,68970,69265,68910,1.08K,0.0038,-0.0167
2021- 11- 30,68970,68790,69290,68690,5.11K,0.0036,-0.0208
2021- 11- 29,68720,68850,68850,68455,0.59K,-0.0014,0.0013
2021- 11- 26,68815,68390,68945,68390,1.88K,0.0086,-0.0401
2021- 11- 25,68225,68005,68250,67975,0.99K,0.0032,-0.0196
2021- 11- 24,68005,67765,68005,67715,0.29K,0.0001,-0.0025
2021- 11- 23,68000,67915,68070,67680,0.98K,-0.0007,0.0059
2021- 11- 22,68050,68110,68180,68050,0.60K,-0.0007,0.0025
2021- 11- 19,68100,68250,68250,68100,0.65K,-0.0022,0.0141
2021- 11- 18,68250,68295,68395,68195,0.30K,0.0007,-0.0093
2021- 11- 17,68200,68285,68495,68200,0.29K,-0.0015,0.0107
2021- 11- 16,68300,68300,68415,68240,3.62K,-0.0027,0.0157
2021- 11- 15,68485,68135,68490,68135,0.30K,0.0051,-0.0217
2021- 11- 12,68135,68025,68310,68000,0.50K,-0.0012,0.0009
2021- 11- 11,68215,68125,68265,67975,1.94K,-0.0029,0.0143
2021- 11- 10,68410,68605,68605,68350,0.90K,-0.0012,0.0057
2021- 11- 09,68490,68185,68545,68160,0.28K,0.0033,-0.0146
2021- 11- 08,68265,68330,68445,68200,2.24K,0.0021,-0.0094
2021- 11- 05,68125,68045,68145,67905,0.71K,0.0066,-0.0321
2021- 11- 04,67675,67610,67715,67575,0.63K,0.003,-0.017
2021- 11- 03,67470,67505,67585,67385,2.81K,-0.0007,-0.004
2021- 11- 02,67515,67230,67530,67095,0.32K,0.0036,-0.0072
2021- 11- 01,67275,66955,67355,66895,0.73K,-0.0306,-0.0254
2021- 10- 29,69400,67540,69400,66930,6.22K,0.0256,0.0803
2021- 10- 28,67670,67380,67755,67025,0.83K,0.0039,-0.0374
2021- 10- 27,67405,67580,67620,67405,16.92K,-0.0021,0.0114
2021- 10- 26,67550,67635,67675,67280,1.55K,-0.0025,0.0124
2021- 10- 25,67720,67755,67935,67700,7.70K,-0.0009,0.0075
2021- 10- 22,67780,67665,67815,67665,0.62K,-0.0013,0.0101
2021- 10- 21,67865,67770,67905,67735,0.45K,0.0004,-0.0013
2021- 10- 20,67835,67780,67910,67630,6.12K,-0.0011,0.0042
2021- 10- 19,67910,67845,68000,67805,5.64K,0.0016,-0.0079
2021- 10- 18,67800,67780,67845,67600,9.53K,-0.0031,0.0042
2021- 10- 15,68010,68110,68110,67900,16.34K,-0.0005,0.0017
2021- 10- 14,68045,67935,68060,67855,0.46K,0.0042,-0.0208
2021- 10- 13,67760,67735,67800,67605,0.44K,0.0037,-0.0188
2021- 10- 12,67510,67895,68045,67510,2.96K,-0.0055,0.036
2021- 10- 08,67880,67780,68060,67695,0.82K,0.001,-0.0046
2021- 10- 07,67810,67880,67990,67770,26.46K,0.0006,-0.0054
2021- 10- 06,67770,68335,68335,67770,2.69K,-0.0091,0.0476
2021- 10- 05,68390,68580,68645,68390,7.10K,-0.0028,0.0182
2021- 10- 01,68580,68780,68925,68490,2.91K,-0.0024,0.0098
2021- 09- 30,68745,68835,68845,68630,10.72K,-0.0002,0.0049
2021- 09- 29,68760,68515,68775,68320,6.80K,0.0021,-0.0133
2021- 09- 28,68615,69020,69020,68615,4.68K,-0.0074,0.0411
2021- 09- 27,69125,69170,69275,69040,0.63K,-0.0015,0.0046
2021- 09- 24,69230,69265,69300,69125,1.93K,-0.0043,0.0248
2021- 09- 23,69530,69820,69850,69515,4.92K,-0.0025,0.013
2021- 09- 17,69705,69770,69805,69575,2.13K,-0.0019,0.0113
2021- 09- 16,69835,69965,69985,69825,4.19K,-0.0014,0.0094
2021- 09- 15,69930,69870,69945,69785,1.19K,0.0016,-0.0165
2021- 09- 14,69815,69930,69960,69750,3.31K,-0.0023,0.0113
2021- 09- 13,69975,70045,70130,69925,0.51K,0.0004,0.0201
2021- 09- 10,69950,70140,70145,69890,0.19K,-0.0029,0.004
2021- 09- 09,70155,70160,70230,70125,5.76K,0.0017,-0.0094
2021- 09- 08,70035,70150,70200,70035,0.32K,-0.0033,0.0228
2021- 09- 07,70270,70325,70410,70220,0.56K,-0.0004,0.0015
2021- 09- 06,70295,70380,70380,70215,0.15K,-0.0018,0.0149
2021- 09- 03,70425,70400,70470,70375,4.46K,-0.0004,0.0015
2021- 09- 02,70450,70465,70500,70425,5.32K,-0.0001,-0.001
2021- 09- 01,70455,70545,70570,70415,5.64K,-0.0029,0.0157
2021- 08- 31,70660,70735,70825,70605,0.58K,0.0009,-0.0005
2021- 08- 30,70595,70565,70625,70525,5.08K,0.002,-0.0124
2021- 08- 27,70455,70500,70535,70355,2.42K,-0.0009,0.0062
2021- 08- 26,70520,70450,70690,70290,0.29K,0.0006,-0.0046
2021- 08- 25,70475,70445,70475,70365,0.63K,0.0003,-0.0015
2021- 08- 24,70455,70725,70755,70455,0.38K,-0.0038,0.0281
2021- 08- 23,70725,70870,70875,70705,0.67K,-0.0032,-0.0177
2021- 08- 20,70955,70840,70975,70795,8.05K,0.0011,-0.0086
2021- 08- 19,70875,70765,70885,70750,13.27K,0.0014,-0.0064
2021- 08- 18,70775,70740,70805,70720,0.40K,0.0004,-0.0048
2021- 08- 17,70745,70695,70745,70640,3.01K,0.0036,-0.0161
2021- 08- 13,70490,70440,70585,70385,4.72K,-0.0005,0.0016
2021- 08- 12,70525,70545,70560,70480,0.19K,0.0005,-0.0067
2021- 08- 11,70490,70505,70525,70435,0.15K,-0.0001,0.0089
2021- 08- 10,70500,70425,70500,70420,1.02K,0.0001,0.001
2021- 08- 09,70490,70360,70490,70355,0.19K,-0.0013,0.0106
2021- 08- 06,70585,68730,70680,68730,0.66K,-0.0014,0.0122
2021- 08- 05,70685,70775,70840,70620,0.99K,-0.0013,0.0064
2021- 08- 04,70775,70690,70825,70660,2.20K,0.002,-0.0127
2021- 08- 03,70635,70675,70735,70610,0.55K,0.0011,-0.0089
2021- 08- 02,70560,70745,70795,70560,3.76K,-0.0025,0.0214
2021- 07- 30,70740,70615,70800,70565,0.89K,0.0011,-0.0069
2021- 07- 29,70660,70820,70820,70595,0.57K,-0.0023,0.014
2021- 07- 28,70820,70800,70820,70560,0.65K,0.0011,-0.0027
2021- 07- 27,70745,70655,70780,70655,0.60K,0.0,0.0027
2021- 07- 26,70745,70650,70745,70585,0.41K,0.0019,-0.0101
2021- 07- 23,70610,70505,70675,70505,2.63K,0.0018,-0.0177
2021- 07- 22,70480,70520,70570,70430,1.40K,-0.002,0.024
2021- 07- 21,70620,70510,70805,70485,0.41K,0.0005,-0.0074
2021- 07- 20,70585,70425,70645,70425,1.11K,0.0061,-0.0411
2021- 07- 19,70160,70045,70195,70045,0.60K,0.0029,-0.0223
2021- 07- 16,69955,70045,70100,69885,0.34K,0.0011,-0.0113
2021- 07- 15,69880,70110,70135,69610,1.69K,-0.0011,0.009
2021- 07- 14,69960,69775,69970,69705,14.69K,0.0018,-0.0123
2021- 07- 13,69835,69840,69880,69790,0.60K,-0.0011,0.0064
2021- 07- 12,69910,69745,69930,69720,0.66K,0.0017,-0.0064
2021- 07- 09,69790,69930,69930,69790,0.17K,-0.0021,0.014
2021- 07- 08,69935,69920,69980,69865,0.32K,0.0027,-0.0172
2021- 07- 07,69750,69520,69755,69520,1.83K,0.0072,-0.0382
2021- 07- 06,69250,69430,69430,69245,1.97K,-0.0029,0.0148
2021- 07- 05,69450,69425,69505,69365,2.35K,0.0012,-0.0076
2021- 07- 02,69365,69385,69510,69365,0.32K,-0.0008,0.0057
2021- 07- 01,69420,69385,69525,69360,2.80K,0.0001,-0.0014
2021- 06- 30,69415,69355,69420,69305,0.97K,0.0017,-0.0085
2021- 06- 29,69300,69215,69340,69190,1.37K,0.0025,-0.0126
2021- 06- 28,69125,69290,69315,69075,10.04K,-0.0039,0.0167
2021- 06- 25,69395,69535,69570,69175,2.76K,-0.0038,0.0209
2021- 06- 24,69660,69725,69850,69600,2.53K,-0.0006,0.0078
2021- 06- 23,69700,69750,69800,69700,1.29K,0.0011,-0.0044
2021- 06- 22,69620,69685,69740,69610,0.56K,-0.004,0.0219
